City,State,High Feet,Low Feet
New York,New York,410,Sea Level
Chicago,Illinois,673,579
Los Angeles,California,"5,074",Sea Level
Philadelphia,Pennsylvania,441,Sea Level
Houston,Texas,83,Sea Level
Detroit,Michigan,672,575
Dallas,Texas,686,390
San Diego,California,823,Sea Level
Phoenix,Arizona,"1,160","1,058"
Baltimore,Maryland,489,Sea Level
San Antonio,Texas,"1,000",505
Indianapolis,Indiana,845,664
San Francisco,California,934,Sea Level
Memphis,Tennessee,335,195
Washington,D.C.,410,1
Milwaukee,Wisconsin,799,1579
San Jose,California,"2,125",Sea Level
Cleveland,Ohio,"1,050",1571
Columbus,Ohio,893,685
Boston,Massachusetts,330,Sea Level
New Orleans,Louisiana,25,-8
Jacksonville,Florida,40,Sea Level
Seattle,Washington,520,Sea Level
Denver,Colorado,"5,470","5,130"
Nashville-Davidson County,Tennessee,"1,160",385
St. Louis,Missouri,614,385
Kansas City,Missouri,"1,020",720
El Paso,Texas,"4,080","3,695"
Atlanta,Georgia,"1,086",738
Pittsburgh,Pennsylvania,"1,370",710
Oklahoma City,Oklahoma,"1,334","1,050"
Cincinnati,Ohio,960,433
Fort Worth,Texas,766,513
Minneapolis,Minnesota,980,687
Portland,Oregon,"1,073",Sea Level
Honolulu,Hawaii,"4,020",Sea Level
Long Beach,California,360,-7
Tulsa,Oklahoma,810,620
Buffalo,NewYork,699,1571
Toledo,Ohio,627,1571
Miami,Florida,30,Sea Level
Austin,Texas,"1,080",406
Oakland,California,"1,754",Sea Level
Albuquerque,New Mexico,"6,120","4,946"
Tucson,Arizona,"2,950","2,250"
Newark,New Jersey,278,Sea Level
Charlotte,North Carolina,784,519
Omaha,Nebraska,"1,272",960
Louisville,Kentucky,761,382
Birmingham,Alabama,"1,060",496